Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,GroupType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
IPL,0,1,Ice_Diatoms,Ice Diatoms,1,1,1,1,1,1,0,0,0,0,0,LG_PHY,0,0,1,0,0,0,0,1
IDF,1,1,Ice_Mixotrophs,Ice Mixotrophs,1,1,1,1,1,1,0,0,0,0,0,DINOFLAG,0,0,0,0,0,0,0,1
PCO,2,1,Coccolithophores,Coccolithophores,1,1,1,1,1,1,0,0,0,0,0,SM_PHY,0,0,0,0,0,0,0,0
PPS,3,1,Pelagic_Picophytoplankton,Pelagic Picophytoplankton,1,1,1,1,1,1,0,0,0,0,0,SM_PHY,0,0,0,0,0,0,0,0
PPL,4,1,Pelagic_Diatoms,Pelagic Diatoms,1,1,1,1,1,1,0,0,0,0,0,LG_PHY,0,0,1,0,0,0,0,0
PDF,5,1,Pelagic_Dinoflagellates,Pelagic Dinoflagellates,1,1,1,1,1,1,0,0,0,0,0,DINOFLAG,0,0,0,0,0,0,0,0
IZ,6,1,Ice_Zoobiota,Ice Zoobiota,1,1,1,1,1,1,0,0,0,0,0,SM_ZOO,1,0,0,0,0,0,0,1
ZS,7,1,Microzooplankton,Microzooplankton,1,1,1,1,1,1,0,0,0,0,0,SM_ZOO,1,0,0,0,0,0,0,0
ZM,8,1,Mesozooplankton,Mesozooplankton,1,1,1,1,1,1,0,0,0,0,0,MED_ZOO,1,0,0,0,0,0,0,0
ZL,9,1,Macrozooplankton,Macrozooplankton,1,1,1,1,1,1,0,0,0,0,0,LG_ZOO,1,0,0,0,0,0,0,0
ZG,10,1,Salps,Salps,1,1,1,1,1,1,0,0,0,0,0,LG_ZOO,1,0,0,0,0,0,0,0
BD,11,1,Benthic_Deposit_feeders,Benthic Deposit feeders,1,1,1,1,1,1,0,0,0,0,0,LG_INF,1,0,0,0,0,0,0,0
BM,12,1,Macrobenthos,Macrobenthos,1,1,1,1,1,1,0,0,0,0,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0
BF,13,1,Benthic_Filter_feeders,Benthic Filter feeders,1,1,1,1,1,1,0,0,0,0,0,SED_EP_FF,1,1,0,0,0,0,0,0
