Template,Units,Suggested,Vector,Groups,Topic,Description
Acov_ad_XXX,,,No,SP_VERTS,Refuge,flag_refuge_model = 1: refuge_status = Acov_ad * (exp(-Kcov_ad * cover + Bcov_ad) + 1.0 / Kcov_ad)
Acov_juv_XXX,,,No,SP_VERTS,Refuge,flag_refuge_model = 1: refuge_status = Acov_juv * (exp(-Kcov_juv * cover + Bcov_juv) + 1.0 / Kcov_juv)
age_structured_prey_XXX,,,No,SP_VERTS,Diet,Flag to indicate that the group uses age structured prey. Used to represent ontogenetic diet shifts so age-specific diets should be given.
Bcov_ad_XXX,,0.01-0.6,No,SP_VERTS,Refuge,flag_refuge_model = 1: refuge_status = Acov_ad * (exp(-Kcov_ad * cover + Bcov_ad) + 1.0 / Kcov_ad)
Bcov_juv_XXX,,0.5-0.6,No,SP_VERTS,Refuge,flag_refuge_model = 1: refuge_status = Acov_juv * (exp(-Kcov_juv * cover + Bcov_juv) + 1.0 / Kcov_juv)
Beta_D_XXX,,"0.285, 0.44",No,SP_PP,"Ice, primary-producer",light_case = irr_ice. 
BHalpha_XXX,,,No,SP_AGE_STRUCTURED,Recruitment,Beverton-Holt recruitment (and variants): spawned_biomass = (stock_scalar1 * BHalpha_sp * spawning_biomass) / (BHbeta_sp + pop_spawning_biomass)
BHbeta_XXX,,,No,SP_AGE_STRUCTURED,Recruitment,Beverton-Holt recruitment (and variants): spawned_biomass = (stock_scalar1 * BHalpha_sp * spawning_biomass) / (BHbeta_sp + pop_spawning_biomass)
C_concp_XXX,,,No,SP_PP,Carbon,Internal concentration factor. Used?
C_min_XXX,moles mg-1,,No,SP_PP,Carbon,Min quota of carbon in phytoplankton cells in moles/mg dry weight. Code in Calculate_Carbon_Respiration: resp += (biomass * (PSA - PSAMIN) * RRESP * Tcorr) * 1 / 1000.0; PSAMIN = C_min.
C_scale_uptake_XXX,,,No,SP_PP,Carbon,Affinity coefficient for carbon uptake mechanism
C_uptake_XXX,d-1,,No,SP_PP,Carbon,Maximum carbon uptake rate per day
C_XXX,mg3 (mg N)-1 d-1,,Cohorts,,Diet,"Clearance rate of vertebrate group, per age-class"
C_XXX_T15,mg3 (mg N)-1 d-1,0.002-0.4,No,,Diet,"Invertebrate clearance rate for consumers - this is used by Holling type feeding (predcase 0, 1, 2)"
contract_tol_XXX,,,No,SP_NOT_DET,pH,Correction scalar pH for nonlinear pH impact function
crit_mum_XXX,,0.0-0.5,No,SP_OVERWINTER,Overwinter,"Critical growth rate, less than this and begin encystment"
crit_nut_XXX,,0.0-20,No,SP_OVERWINTER,Overwinter,Critical nutrient level to trigger end of overwintering encystment.
crit_temp_XXX,Celsius,0.0-10,No,SP_OVERWINTER,Overwinter,Critical temperature to trigger end of overwintering encystment
E_XXX,,0.01-0.9,No,SP_PREDATOR,Assimilation,Assimilation efficiency of consumers on live food and carrion
EDL_XXX,,0-0.5,No,SP_PREDATOR_OR_BACT,Assimilation,Assimilation efficiency of consumers on labile detritus
EDR_XXX,,0.001-0.25,No,SP_PREDATOR_OR_BACT,Assimilation,Assimilation efficiency of consumers on refractory detritus
encyst_period_XXX,,10-120,No,SP_OVERWINTER,Overwinter,Period of time remain encysted (if date driven)
encyst_rate_XXX,,0-1,No,SP_OVERWINTER,Overwinter,Rate of encystment (as begin overwintering)
EPlant_XXX,,,No,SP_PREDATOR,Assimilation,Assimilation efficiency of consumers on plants
FDG_XXX,,,No,SP_PREDATOR,Detritus,Detrit contrib from unassim material ingested by XXX (fraction)
FDGDL_XXX,,,No,,Detritus,Detrit contrib from unassim lab detrit ingested by XXX (fraction)
FDGDR_XXX,,,No,,Detritus,Detrit contrib from unassim ref detrit ingested by XXX (fraction)
FDM_XXX,,,No,,Detritus,Detrit contrib from mortality of XXX (fraction)
feed_while_spawnXXX,,0,No,,Recruitment,"Flag indicating whether feed during the spawning period (0 = no, 1 = yes)    "
flagbearliveXXX,,0,No,,Recruitment,"Flag indicating whether the vertebrate group bearslive young (0 = no, 1 = yes)"
flagchannelXXX,,0,No,,Movement,Identifier indicating whether vertebrate group seeks channels during low tide - in tidal models
flagcontract_tol_XXX,,,No,SP_NOT_DET,pH,Whether the species growth or non predation mortality is sensitive to pH
flagdemXXX,,1,No,,Functional group,"Preferred location trend (whether to weight vertical distributions towards surface or bottom layers when in depths where there were less than complete set of depth layers) 1 = demersal, 0 = pelagic "
flagencyst_XXX,,,No,,Overwinter,Overwintering and Encystment
flagfecundsensitive_XXX,,,No,,Temperature,Whether the species fecundity is sensitive to pH
flagjXXXMigrate,,0,No,,Migration,"0 = always in the model domain, 1+ = migrate in/out of the domain (see flagseperateXXX)"
flaglocalrecruitXXX,,0,No,,Recruitment,"Local recruitment (1 = demersal and piscivorous fish recruit at parental locations, 0 = independent distribution, 2 = external reproduction)"
flagmotherXXX,,0,No,,Recruitment,"Flag indicating whether the vertebrate group provides parental care for young until maturity (0 = no, 1 = yes, -1 = semelparous so die after reproduction)"
flagnutvaleffect_XXX,,,No,,pH,Whether the species' nutritional value is sensitive to salinity or pH (mainly an issue for phytoplankton)
flagpHsensitive_XXX,,,No,,pH,Whether the species growth or non-predation mortality is sensitive to pH
flagplankfishXXX,,1,No,,Functional group,"Whether or not the vertebrate is a planktivore (1 = yes, 0 = no)"
flagpredavaileffect_XXX,,,No,,pH,Whether the species availability to predators is sensitive to pH (mainly behaviour in fish)
flagq10effXXX,,1,No,,Assimilation,"Switch indicating whether efficiency of assimilation is temperature dependent; 0 = no, 1 = poorer when cooler, 2 = poorer when warmer"
flagrecpeakXXX,,1,No,,Recruitment,"Vertebrate recruitment strength: 1 = very strong year class possible, relative strength set using recruitRange, 0 = moderate variation in year class strength mainly used for top predators with few young per reproductive event, relative strength set using recruitRangeFlat"
flagrecruitXXX,,3,No,,Recruitment,"Recruitment function: 1 = const, 2 = dependent on prim prod (Chla), 3 = Beverton-Holt, 4 = lognormal, 5 = dependnet on all plankton groups, 6 = Beverton-Holt with log-normal variation, 7 = Beverton-Holt with encouragement recruitment, 8 = Beverton-Holt with prescribed recovery, 9 = Ricker, 10 = Beverton-Holt (no explicit use of spawn), 11 = pupping/calving linearly depend on maternal condition, 12 = pupping/calving a fixed number per adult, 13 = forced time-series of recruitment"
flagSaltSensitive_XXX,,,No,,Salinity,Whether the species is sensitive to salinity
